id,bairro,classificacao,latitude,longitude,populacao,risco
1,Avenida Aricanduva,Inundação,-23.5578,-46.5053,273.873,28
2,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5875,-46.5894,554.926,30
3,Mairiporã,Deslizamento,-23.2107,-46.3438,107.592,82
4,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5871,-46.5874,470.636,32
5,Litoral Paulista,Deslizamento,-23.5011,-48.0571,206.918,48
6,Avenida Aricanduva,Inundação,-23.5574,-46.5133,233.33,27
7,Mairiporã,Deslizamento,-23.2049,-46.3436,96.859,81
8,Mairiporã,Deslizamento,-23.2001,-46.3521,83.549,77
9,Avenida Aricanduva,Inundação,-23.564,-46.5108,227.374,23
10,Avenida Aricanduva,Inundação,-23.5691,-46.5061,274.778,28
11,Mairiporã,Deslizamento,-23.1965,-46.3552,102.605,78
12,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5809,-46.5898,551.343,30
13,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5837,-46.5755,534.091,33
14,Avenida Aricanduva,Inundação,-23.5723,-46.5118,257.116,23
15,Litoral Paulista,Deslizamento,-23.4986,-48.0464,206.628,51
16,Franco da Rocha,Deslizamento,-23.3253,-46.7324,128.41,47
17,Franco da Rocha,Deslizamento,-23.3268,-46.7349,164.46,47
18,Mairiporã,Deslizamento,-23.1984,-46.3496,110.347,78
19,Franco da Rocha,Deslizamento,-23.3154,-46.7214,147.963,47
20,Litoral Paulista,Deslizamento,-23.4963,-48.0516,223.456,47
21,Mairiporã,Deslizamento,-23.2091,-46.3479,105.489,78
22,Mairiporã,Deslizamento,-23.2026,-46.3525,83.906,81
23,Mairiporã,Deslizamento,-23.2105,-46.3491,92.386,80
24,Litoral Paulista,Deslizamento,-23.504,-48.0552,215.548,50
25,Litoral Paulista,Deslizamento,-23.5068,-48.0572,179.853,48
26,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5771,-46.5802,555.719,30
27,Avenida Aricanduva,Inundação,-23.57,-46.5027,269.14,23
28,Avenida Aricanduva,Inundação,-23.5673,-46.5025,247.816,24
29,Franco da Rocha,Deslizamento,-23.3169,-46.7212,128.018,49
30,Franco da Rocha,Deslizamento,-23.3222,-46.7239,139.848,53
31,Mairiporã,Deslizamento,-23.2058,-46.351,103.794,77
32,Franco da Rocha,Deslizamento,-23.3259,-46.731,159.089,49
